bench,generated,satisfied,units,pr-units,pr-binaries,pr-time,kissat-time,total-time,solve-result,pr-result
6s165,591976,1350,79,13,1337,100.12,2.33,102.45,UNSAT,TRUE
aes_24_4_keyfind_2,60356,0,0,0,0,2.1,737.98,740.08,SAT-VERIFIED,TRUE
aes_24_4_keyfind_4,61168,0,0,0,0,2.13,430.69,432.82,SAT-VERIFIED,TRUE
aes_32_3_keyfind_1,48946,0,0,0,0,0.81,2583.46,2584.27,SAT-VERIFIED,TRUE
aes_32_3_keyfind_2,47402,0,0,0,0,0.78,510.01,510.79,SAT-VERIFIED,TRUE
aes_64_1_keyfind_1,108136,0,0,0,0,1.78,2015.63,2017.41,SAT-VERIFIED,TRUE
battleship-13-25-sat,548952,1710,0,24,1686,16.28,0,16.28,SAT-VERIFIED,TRUE
battleship-14-14-unsat,64876,0,0,0,0,2.43,5000,5000,UNKNOWN,Timeout
bivium-39-200-0s0-0x163b785faa4bfb1b3b894a9206768a6c3d5d6f038b3797c4c2-99,25346,0,0,0,0,0.13,1704.27,1704.4,UNSAT,TRUE
bivium-39-200-0s0-0x1b770901581bbb2863c83835583d7ce4e1fafd907076320542-34,24412,0,0,0,0,0.53,2589.52,2590.05,UNSAT,TRUE
bivium-39-200-0s0-0x28df9231b320bd56dfb68bfc7c3f0ca20dbae6b0eba535ad91-98,26660,0,0,0,0,0.57,1377.47,1378.04,UNSAT,TRUE
bivium-39-200-0s0-0x53e7622aad02b083b53dcd6a4a76f54a150ceb996ea1dfa300-63,23890,0,0,0,0,0.13,1340.96,1341.09,UNSAT,TRUE
bivium-39-200-0s0-0x5fa955de2b4f64d00226837d226c955de4566ce95f660180d7-30,33481,0,0,0,0,0.69,2272.12,2272.81,UNSAT,TRUE
bivium-39-200-0s0-0xdcfb6ab71951500b8e460045bd45afee15c87e08b0072eb174-43,25586,0,0,0,0,0.52,1859.11,1859.63,UNSAT,TRUE
bivium-40-200-0s0-0x66b619d7b8e447710bf43b794ded6cfaf1e75bb8a947e14c78-50,30518,0,0,0,0,0.64,3757.71,3758.35,UNSAT,TRUE
bivium-40-200-0s0-0x92fc13b11169afbb2ef11a684d9fe9a19e743cd6aa5ce23fb5-19,25400,0,0,0,0,0.13,650.43,650.56,UNSAT,TRUE
bivium-40-200-0s0-0xd447c33176b6b675fd5f8dc3a5deda46569dc34eedf37da020-6,29380,0,0,0,0,0.62,761.84,762.46,UNSAT,TRUE
connm-ue-csp-sat-n800-d-0.02-s1542454144.sat05-533.reshuffled-07,86032,1104,0,0,1104,3.95,1306.65,1310.6,SAT-VERIFIED,TRUE
connm-ue-csp-sat-n800-d0.02-s925928766.sat05-538.reshuffled-07,83778,1050,0,0,1050,3.47,691.12,694.59,UNSAT,TRUE
connm-ue-csp-sat-n800-d0.04-s1788334438.sat05-543.reshuffled-07,92450,1146,0,0,1146,4.23,5000,5000,UNKNOWN,Timeout
connm-ue-csp-sat-n800-d0.04-s1788334438.used-as.sat04-976,92450,1146,0,0,1146,4.35,5000,5000,UNKNOWN,Timeout
contest04-lksat-n1100-m7545-k4-l4-s310659001.sat05-524.reshuffled-07,111758,88,14,0,88,1.82,552.44,554.26,UNSAT,TRUE
eulcbip-7-UNSAT.shuffled-as.sat05-3936,2692,0,0,0,0,0.06,5000,5000,UNKNOWN,Timeout
eulcbip-8-UNSAT.sat05-3937.reshuffled-07,3216,0,0,0,0,0,5000,5000,UNKNOWN,Timeout
f600.shuffled,77874,31,3,0,31,0.9,24.32,25.22,SAT-VERIFIED,TRUE
fsf-300-354-2-2-3-2.46.opt,785851,9553,0,0,9553,99.99,1755.65,1855.64,SAT-VERIFIED,TRUE
fsf-300-354-2-2-3-2.89.opt,778779,9697,0,0,9697,100.05,5000,5000,UNKNOWN,Timeout
fsf-300-354-2-2-3-2.94.opt,783538,9486,0,0,9486,100.02,5000,5000,UNKNOWN,Timeout
GreenTao_2-4-4_511,51032,0,0,0,0,0.63,5000,5000,UNKNOWN,Timeout
hid-uns-enc-6-1-0-0-0-0-10605,1967586,42,0,0,42,100.38,114.33,214.71,UNSAT,TRUE
hid-uns-enc-6-1-0-0-0-0-12688,1944679,131,4,0,131,100.36,105.29,205.65,UNSAT,TRUE
hid-uns-enc-6-1-0-0-0-0-14492,1944812,59,0,0,59,100.33,111.88,212.21,UNSAT,TRUE
hid-uns-enc-6-1-0-0-0-0-157,1912513,92,0,0,92,100.38,97.58,197.96,UNSAT,TRUE
hid-uns-enc-6-1-0-0-0-0-17054,1899960,161,1,0,161,100.38,216.58,316.96,UNSAT,TRUE
hid-uns-enc-6-1-0-0-0-0-17599,1943423,46,0,0,46,100.41,63.73,164.14,UNSAT,TRUE
hid-uns-enc-6-1-0-0-0-0-18123,1933224,55,1,0,55,100.39,61.85,162.24,UNSAT,TRUE
hid-uns-enc-6-1-0-0-0-0-18969,1956701,32,0,0,32,100.31,58,158.31,UNSAT,TRUE
hid-uns-enc-6-1-0-0-0-0-22883,1901627,69,0,0,69,100.41,134.38,234.79,UNSAT,TRUE
hid-uns-enc-6-1-0-0-0-0-22984,1886852,108,0,0,108,100.2,158.78,258.98,UNSAT,TRUE
hid-uns-enc-6-1-0-0-0-0-2707,1938942,58,0,0,58,100.39,54.64,155.03,UNSAT,TRUE
hid-uns-enc-6-1-0-0-0-0-27601,1950028,93,1,0,93,100.34,113.21,213.55,UNSAT,TRUE
hid-uns-enc-6-1-0-0-0-0-28258,1932941,89,1,0,89,100.37,125.47,225.84,UNSAT,TRUE
hid-uns-enc-6-1-0-0-0-0-28527,1936832,41,0,0,41,100.39,68.64,169.03,UNSAT,TRUE
hid-uns-enc-6-1-0-0-0-0-30547,1922591,89,0,0,89,100.38,87.23,187.61,UNSAT,TRUE
hid-uns-enc-6-1-0-0-0-0-30856,1949299,51,0,0,51,100.38,75.2,175.58,UNSAT,TRUE
hid-uns-enc-6-1-0-0-0-0-4779,1933001,52,1,0,52,100.38,36.37,136.75,UNSAT,TRUE
hid-uns-enc-6-1-0-0-0-0-6441,1924018,111,2,0,111,100.29,115.81,216.1,UNSAT,TRUE
hid-uns-enc-6-1-0-0-0-0-8285,1925678,117,2,0,117,100.38,104.33,204.71,UNSAT,TRUE
hid-uns-enc-6-1-0-0-0-0-8728,1908397,62,0,0,62,100.37,115.38,215.75,UNSAT,TRUE
hwb-n28-01-S136611085.shuffled-as.sat03-1627,4602,0,0,0,0,0.05,1817.08,1817.13,UNSAT,TRUE
hwb-n28-02-S818962541.sat05-492.reshuffled-07,4432,0,0,0,0,0.06,5000,5000,UNKNOWN,Timeout
hwb-n28-02-S818962541.shuffled-as.sat03-1628,4390,0,0,0,0,0.06,5000,5000,UNKNOWN,Timeout
mod2-rand3bip-sat-250-3.sat05-2220.reshuffled-07,4988,0,0,0,0,0,227.23,227.23,SAT-VERIFIED,TRUE
mod2-rand3bip-sat-270-2.sat05-2249.reshuffled-07,5388,0,0,0,0,0.06,765.76,765.82,SAT-VERIFIED,TRUE
mod2c-rand3bip-sat-240-2.shuffled-as.sat05-2519,8532,0,0,0,0,0.08,376.89,376.97,SAT-VERIFIED,TRUE
mod2c-rand3bip-sat-240-3.shuffled-as.sat05-2520,8584,0,0,0,0,0.08,373.65,373.73,SAT-VERIFIED,TRUE
mod2c-rand3bip-sat-250-3.shuffled-as.sat05-2535,8900,0,0,0,0,0.09,249.86,249.95,SAT-VERIFIED,TRUE
mrpp_4x4#6_7,860029,971,93,5,966,54.68,0.07,54.75,SAT-VERIFIED,TRUE
MUS-v300-1,28700,30,0,0,30,0.06,500.01,500.07,UNSAT,TRUE
MUS-v300-2,30212,30,0,0,30,0.05,2264.59,2264.64,UNSAT,TRUE
MUS-v300-3,29054,22,0,0,22,0.06,1381.72,1381.78,UNSAT,TRUE
MUS-v300-4,28921,9,0,0,9,0.06,1252.8,1252.86,UNSAT,TRUE
MUS-v310-1,29984,28,0,0,28,0.06,3327.71,3327.77,UNSAT,TRUE
MUS-v310-2,30024,18,0,0,18,0.06,2322.55,2322.61,UNSAT,TRUE
MUS-v310-3,30524,24,0,0,24,0.06,4213.32,4213.38,UNSAT,TRUE
MUS-v310-4,30780,43,0,0,43,0.06,1606.89,1606.95,UNSAT,TRUE
MUS-v320-1,30996,34,0,0,34,0.06,3893.22,3893.28,UNSAT,TRUE
MUS-v320-2,31860,25,0,0,25,0.06,5000,5000,UNKNOWN,Timeout
MUS-v320-3,31712,20,0,0,20,0.06,4115.13,4115.19,UNSAT,TRUE
MUS-v330-1,32528,34,0,0,34,0.06,3024.88,3024.94,UNSAT,TRUE
MUS-v330-2,31539,23,0,0,23,0.06,4340.32,4340.38,UNSAT,TRUE
mutcb16,138049,376,19,4,372,3.78,17.84,21.62,UNSAT,TRUE
ph12,128207,3658,40,2,3656,4.5,2.77,7.27,UNSAT,TRUE
pmg-11-UNSAT.sat05-3939.reshuffled-07,2363,0,0,0,0,0.05,2053.05,2053.1,UNSAT,TRUE
pmg-12-UNSAT.sat05-3940.reshuffled-07,2660,0,0,0,0,0,5000,5000,UNKNOWN,Timeout
sgen1-sat-140-100,15544,14,0,0,14,0.05,52.15,52.2,SAT-VERIFIED,TRUE
sgen1-sat-230-100,26364,10,0,0,10,0.05,5000,5000,UNKNOWN,Timeout
sgen1-sat-270-100,31004,8,0,0,8,0.06,5000,5000,UNKNOWN,Timeout
sgen1-unsat-97-100,1960,0,0,0,0,0,5000,5000,UNKNOWN,Timeout
sgen3-n140-s18527668-sat,16202,6,0,0,6,0.05,139.51,139.56,SAT-VERIFIED,TRUE
sgen3-n240-s78945233-sat,28720,6,0,0,6,0.05,5000,5000,UNKNOWN,Timeout
sgen4-sat-200-8,12134,0,0,0,0,0.05,1913.58,1913.63,SAT-VERIFIED,TRUE
sgen4-sat-220-8,13318,0,0,0,0,0.05,5000,5000,UNKNOWN,Timeout
sgen4-unsat-101-1,2040,0,0,0,0,0,5000,5000,UNKNOWN,Timeout
toughsat_factoring_1238s,405895,0,21,0,0,22.78,76.95,99.73,SAT-VERIFIED,TRUE
toughsat_factoring_148s,402564,0,9,0,0,21.56,28.31,49.87,SAT-VERIFIED,TRUE
toughsat_factoring_155s,1157901,0,31,0,0,65.68,355.3,420.98,SAT-VERIFIED,TRUE
toughsat_factoring_428s,597199,0,18,0,0,32.08,99.94,132.02,SAT-VERIFIED,TRUE
toughsat_factoring_958s,704486,0,18,0,0,36.18,2.64,38.82,SAT-VERIFIED,TRUE
tph6,11007,195,0,0,195,0.07,160.45,160.52,UNSAT,TRUE
tph7,18543,315,0,0,315,0.93,5000,5000,UNKNOWN,Timeout
tph8,29388,476,0,0,476,1.87,5000,5000,UNKNOWN,Timeout
tph9,44388,684,0,0,684,4.53,5000,5000,UNKNOWN,Timeout
urq55,3052,0,0,0,0,0,5000,5000,UNKNOWN,Timeout
VanDerWaerden_2-3-14_186,60700,0,0,0,0,1.01,5000,5000,UNKNOWN,Timeout
x1_80.shuffled,3808,0,0,0,0,0.05,5000,5000,UNKNOWN,Timeout
6s165-nonopt,896573,1589,161,18,1571,100.18,1.29,101.47,UNSAT,TRUE
ablmulub16x4o,630276,251,1,0,251,72.85,139.99,212.84,UNSAT,TRUE
aes_24_4_keyfind_5,61708,0,0,0,0,2.1,4683.57,4685.67,SAT-VERIFIED,TRUE
aes_32_2_keyfind_1,44504,0,0,0,0,1.35,5000,5000,UNKNOWN,Timeout
aes_32_5_keyfind_1,62900,0,0,0,0,1.3,5000,5000,UNKNOWN,Timeout
aes_64_2_keyfind_1,117760,0,0,0,0,2.8,5000,5000,UNKNOWN,Timeout
aes_64_3_keyfind_1,139520,0,0,0,0,4.37,5000,5000,UNKNOWN,Timeout
C168_FW_UT_518,0,0,0,0,0,0,0,0,SAT-VERIFIED,TRUE
dimacs,280202,0,4,0,0,22.55,1088.72,1111.27,UNSAT,TRUE
ecgrid6x115_shuffled,27620,0,0,0,0,0.56,2181.66,2182.22,UNSAT,TRUE
ecgrid6x135_shuffled,32420,0,0,0,0,0.66,3299.2,3299.86,UNSAT,TRUE
ecgrid6x155_shuffled,37220,0,0,0,0,0.87,2248.33,2249.2,UNSAT,TRUE
ecgrid6x165_shuffled,39620,0,0,0,0,0.9,5000,5000,UNKNOWN,Timeout
ecgrid6x175_shuffled,42020,0,0,0,0,1.21,5000,5000,UNKNOWN,Timeout
ecgrid6x185_shuffled,44420,0,0,0,0,1.17,5000,5000,UNKNOWN,Timeout
ecgrid6x195_shuffled,46820,0,0,0,0,1.21,5000,5000,UNKNOWN,Timeout
ecgrid6x205_shuffled,49220,0,0,0,0,1.38,5000,5000,UNKNOWN,Timeout
eq.atree.braun.11.unsat,152341,0,5,0,0,9.48,542.9,552.38,UNSAT,TRUE
eq.atree.braun.12.unsat,253078,0,12,0,0,16.52,2012.07,2028.59,UNSAT,TRUE
eq.atree.braun.13.unsat,209419,0,2,0,0,15.75,5000,5000,UNKNOWN,Timeout
f1000,118491,36,1,0,36,1.78,182.18,183.96,SAT-VERIFIED,TRUE
f600,90261,31,3,0,31,1.07,40.94,42.01,SAT-VERIFIED,TRUE
fixedbandwidth-eq-31_shuffled,2520,0,0,0,0,0,1404.17,1404.17,UNSAT,TRUE
fixedbandwidth-eq-32_shuffled,2600,0,0,0,0,0,3467.06,3467.06,UNSAT,TRUE
fixedbandwidth-eq-33_shuffled,2680,0,0,0,0,0,3199.25,3199.25,UNSAT,TRUE
fixedbandwidth-eq-34_shuffled,2760,0,0,0,0,0.05,2880.55,2880.6,UNSAT,TRUE
fixedbandwidth-eq-35_shuffled,2840,0,0,0,0,0.05,2545.15,2545.2,UNSAT,TRUE
fixedbandwidth-eq-36_shuffled,2920,0,0,0,0,0,2858.55,2858.55,UNSAT,TRUE
fixedbandwidth-eq-37_shuffled,3000,0,0,0,0,0,928.39,928.39,UNSAT,TRUE
fixedbandwidth-eq-39_shuffled,3160,0,0,0,0,0.05,509.06,509.11,UNSAT,TRUE
fixedbandwidth-eq-40_shuffled,3240,0,0,0,0,0.05,700.86,700.91,UNSAT,TRUE
fixedbandwidth-eq-42_shuffled,3400,0,0,0,0,0,397.35,397.35,UNSAT,TRUE
homer17,532814,6211,80,3,6208,20.11,0.04,20.15,UNSAT,TRUE
jgiraldezlevy.2200.9086.08.40.108,553060,164,14,0,164,14.25,5000,5000,UNKNOWN,Timeout
jgiraldezlevy.2200.9086.08.40.109,504580,131,11,0,131,12.82,1727.44,1740.26,UNSAT,TRUE
jgiraldezlevy.2200.9086.08.40.117,415436,171,7,0,171,10.81,3049.94,3060.75,SAT-VERIFIED,TRUE
jgiraldezlevy.2200.9086.08.40.135,450864,178,12,0,178,11.26,2850.74,2862,UNSAT,TRUE
jgiraldezlevy.2200.9086.08.40.136,571756,144,15,0,144,14,619.04,633.04,SAT-VERIFIED,TRUE
jgiraldezlevy.2200.9086.08.40.149,493142,150,11,0,150,12.45,48.55,61,SAT-VERIFIED,TRUE
jgiraldezlevy.2200.9086.08.40.158,445425,144,11,0,144,11.19,46.99,58.18,SAT-VERIFIED,TRUE
jgiraldezlevy.2200.9086.08.40.167,385957,128,5,0,128,9.28,5000,5000,UNKNOWN,Timeout
jgiraldezlevy.2200.9086.08.40.180,442936,165,7,0,165,11.62,5000,5000,UNKNOWN,Timeout
jgiraldezlevy.2200.9086.08.40.188,502876,138,10,0,138,12.56,8.35,20.91,SAT-VERIFIED,TRUE
jgiraldezlevy.2200.9086.08.40.194,395191,130,6,0,130,9.87,22.17,32.04,SAT-VERIFIED,TRUE
jgiraldezlevy.2200.9086.08.40.2,556117,135,8,0,135,13.92,439.21,453.13,SAT-VERIFIED,TRUE
jgiraldezlevy.2200.9086.08.40.20,588455,134,11,0,134,14.75,15.97,30.72,SAT-VERIFIED,TRUE
jgiraldezlevy.2200.9086.08.40.22,707216,153,12,0,153,17.4,15.27,32.67,SAT-VERIFIED,TRUE
jgiraldezlevy.2200.9086.08.40.28,496500,180,10,0,180,12.53,167.14,179.67,SAT-VERIFIED,TRUE
jgiraldezlevy.2200.9086.08.40.33,474303,195,9,0,195,12.09,203.33,215.42,SAT-VERIFIED,TRUE
jgiraldezlevy.2200.9086.08.40.35,395517,137,10,0,137,9.82,14.36,24.18,SAT-VERIFIED,TRUE
jgiraldezlevy.2200.9086.08.40.41,270940,107,8,0,107,6.78,44.63,51.41,SAT-VERIFIED,TRUE
jgiraldezlevy.2200.9086.08.40.46,389589,160,8,0,160,9.73,693,702.73,UNSAT,TRUE
jgiraldezlevy.2200.9086.08.40.62,325432,117,7,0,117,8.06,27.72,35.78,SAT-VERIFIED,TRUE
jgiraldezlevy.2200.9086.08.40.79,612208,168,12,0,168,15.63,693.53,709.16,SAT-VERIFIED,TRUE
jgiraldezlevy.2200.9086.08.40.8,380681,167,5,0,167,9.77,4.36,14.13,SAT-VERIFIED,TRUE
jgiraldezlevy.2200.9086.08.40.81,512867,130,7,0,130,12.9,46.28,59.18,SAT-VERIFIED,TRUE
jgiraldezlevy.2200.9086.08.40.83,388471,136,7,0,136,9.85,437.93,447.78,SAT-VERIFIED,TRUE
